origin,model,training_max_year,n,MAE,RMSE,R2
2011,median,2010,311,0.9319815434083603,1.1509356665229373,-0.14637416614592302
2011,ridge_trend,2010,311,0.39295917796657975,0.5282871567968642,0.758473716592534
2011,tree,2010,311,0.6828677846287864,0.8423868746209657,0.3858881523795443
2011,forest,2010,311,0.4882841462412282,0.6363424743441259,0.6495660952733955
2012,median,2011,311,0.9500312057877813,1.1411223720580959,-0.14962200816570492
2012,ridge_trend,2011,311,0.4127741227152899,0.5346657773805815,0.7476197285216635
2012,tree,2011,311,0.6893110470169107,0.8305368081285925,0.39101247206443135
2012,forest,2011,311,0.5170860765438235,0.635360732666554,0.6436051904430272
2013,median,2012,310,0.998041870967742,1.2294862934832684,-0.14494135485188675
2013,ridge_trend,2012,310,0.4212696284630332,0.5563988432610697,0.7655186552879284
2013,tree,2012,310,0.7252905075941977,0.8781251091418039,0.41595185311606564
2013,forest,2012,310,0.5354305262628758,0.6712958634773553,0.658678377576812
